observatory_id,country,institute,water_column,soft_sediment,data_quality_control_threshold_date,data_quality_control_assignee,rocrate_profile_uri,autogenerate
ESC68N,Norway,The Arctic University of Norway (UiT),https://docs.google.com/spreadsheets/d/11_Eu0W1-sDiuzKx1cIl6YuxjRHmWezN6u9v3Ly8JZ3A/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
Bergen,Norway,University of Bergen - Sars International Centre for Marine Molecular Biology (UiB-SICMMB),https://docs.google.com/spreadsheets/d/1HuXHiUJICZrmCrJ4EZDyU5aSCMzDAc1cy_tne5YVPTg/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
MBAL4,UK,The Marine Biological Association (MBA),https://docs.google.com/spreadsheets/d/1xfrqraPa0auQ1O-C9RUo68RhxrPCDWkVMCAUbj79AZI/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
BPNS,Belgium,Flanders Marine Institute (VLIZ),https://docs.google.com/spreadsheets/d/1mEi4Bd2YR63WD0j54FQ6QkzcUw_As9Wilue9kaXO2DE/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1zc0bZdpl-Eoi35lI_5BGkElbscplyQRyNPLkSgeEyEQ/edit?usp=sharing,2023-12-31,kmexter,https://data.emobon.embrc.eu/observatory-profile/0.22,True
ROSKOGO,France,Station Biologique de Roscoff (SBR),https://docs.google.com/spreadsheets/d/1BCu2pbuIS4f-yrw5Kw4uzfO9v6ryZJBtSF5WBLWG_-E/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1M0ytBWbUDP0YthGtTVtdIaX2cQUxF_uNIJBHIXREoX8/edit?usp=sharing,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
VB,France,Observatoire Océanologique de Villefranche sur mer (IMEV),https://docs.google.com/spreadsheets/d/1kSlTcNfXaCQv7fIKVbBnt5PmRW3_H7Trryh4FJHyLkE/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
OOB,France,Observatoire Océanologique de Banyuls sur Mer (OOB),,https://docs.google.com/spreadsheets/d/1J469_ljfxM9NhOEyRmvWQNOXX7dujxBy1opU6ROmDv8/edit?usp=sharing,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
EMT21,Spain,Vigo University Marine Research Centre - Toralla Marine Science Station (ECIMAT-UVIGO),https://docs.google.com/spreadsheets/d/1RutVpduwL1mEed5jC2zLbs0DgkzAwZdsJ27fg3kb0Yg/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1sBB0x6h-prnUHMcOfms_7qSqTn6zeGVriitTysceoT0/edit?usp=sharing,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
PiEGetxo,Spain,University of Basqua Country - Plentzia Marine Station (PiE),https://docs.google.com/spreadsheets/d/1KGcishLP5eAn6ZCnixn5wZIez1Y9MgmYoch2s7aefKM/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
Plenzia,Spain,University of Basqua Country - Plentzia Marine Station (PiE),https://docs.google.com/spreadsheets/d/13XeETquTvY6F_8Re25E0BAmSxLi0mThDUXYay3Eb5-o/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,True
