source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample
EMOBON_UMF_Wa_220830_200um_1,EMO BON UMF Wa 220830 3um (1),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,1.0,1.0,5.0,3.0,3-200,3.0,200.0,True,Niskin,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,False,2022-10-10,2022-10-12,-70.0,2023-06-01,2023-06-01,,,
EMOBON_UMF_Wa_220830_200um_2,EMO BON UMF Wa 220830 3um (2),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,1.0,2.0,5.0,3.0,3-200,3.0,200.0,True,Niskin,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,False,2022-10-10,2022-10-12,-70.0,2023-06-01,2023-06-01,,,
EMOBON_UMF_Wa_220830_200um_3,EMO BON UMF Wa 220830 3um (3),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,1.0,3.0,5.0,3.0,3-200,3.0,200.0,True,Niskin,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,True,,,,,,,,
EMOBON_UMF_Wa_220830_200um_4,EMO BON UMF Wa 220830 3um (4),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,1.0,4.0,5.0,3.0,3-200,3.0,200.0,True,Niskin,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,True,,,,,,,,
EMOBON_UMF_Wa_220830_3um_1,EMO BON UMF Wa 220830 0.2um (1),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,1.0,1.0,5.0,3.0,0.2-3,0.2,3.0,True,Niskin,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,False,2022-10-10,2022-10-12,-70.0,2023-06-01,2023-06-01,,,
EMOBON_UMF_Wa_220830_3um_2,EMO BON UMF Wa 220830 0.2um (2),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,1.0,2.0,5.0,3.0,0.2-3,0.2,3.0,True,Niskin,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,False,2022-10-10,2022-10-12,-70.0,2023-06-01,2023-06-01,,,
EMOBON_UMF_Wa_220830_3um_3,EMO BON UMF Wa 220830 0.2um (3),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,1.0,3.0,5.0,3.0,0.2-3,0.2,3.0,True,Niskin,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,True,,,,,,,,
EMOBON_UMF_Wa_220830_3um_4,EMO BON UMF Wa 220830 0.2um (4),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,1.0,4.0,5.0,3.0,0.2-3,0.2,3.0,True,Niskin,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,True,,,,,,,,
EMOBON_UMF_Wa_220830_200um_blank,EMO BON UMF Wa 220830 3um (Blank),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,32644,unidentified,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,,,5.0,0.0,3-200,3.0,200.0,,,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,True,,,,,,,,
EMOBON_UMF_Wa_220830_3um_blank,EMO BON UMF Wa 220830 0.22um (Blank),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,32644,unidentified,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,,,5.0,0.0,0.2-3,0.2,3.0,,,WaSOP1,vacuum pump,2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,True,,,,,,,,
EMOBON_UMF_Wa_220830_2000um_1,EMO BON UMF Wa 220830 10um (1),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 10-2000um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1.0,0.25,3.0,10-2000,10.0,2000.0,,plankton net ,WaSOP2,"net haul, 1-10 m, diluted with water from 1m",2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,False,2022-10-10,2022-10-12,-70.0,2023-06-01,2023-06-01,,,
EMOBON_UMF_Wa_220830_2000um_2,EMO BON UMF Wa 220830 10um (2),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 10-2000um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30,UMF_Wa_220830,Annie Marie Cox,,no_tide,,2.0,0.25,3.0,10-2000,10.0,2000.0,,plankton net ,WaSOP2,"net haul, 1-10 m, diluted with water from 1m",2022-08-30,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,,,,False,2022-10-10,2022-10-12,-70.0,2023-06-01,2023-06-01,,,
