source_mat_id,arr_date_hq,arr_date_seq,collection_date,comm_samp,depth,env_material,failure,failure_comment,investigation_type,long_store,replicate,samp_collect_device,samp_store_date,samp_mat_process,samp_mat_process_dev,samp_size_mass,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_EMT21_So_25,2023-06-12,,2023-04-21,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,N,1,Van Veen Grab sampler 0.056m2,2023-04-21,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 230421,2023-06-12,,1.0,,EMO BON EMT21 So 230421 macro 1mm (1),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_26,2023-06-12,,2023-04-21,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,N,2,Van Veen Grab sampler 0.056m2,2023-04-21,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 230421,2023-06-12,,1.0,,EMO BON EMT21 So 230421 macro 1mm (2),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_27,,,2023-04-21,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,Y,3,Van Veen Grab sampler 0.056m2,2023-04-21,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 230421,,,1.0,,EMO BON EMT21 So 230421  macro 1mm (3),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_28,,,2023-04-21,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,Y,4,Van Veen Grab sampler 0.056m2,2023-04-21,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 230421,,,1.0,,EMO BON EMT21 So 230421 macro 1mm (4),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_29,2023-06-12,,2023-04-21,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,N,1,Van Veen Grab sampler 0.056m2,2023-04-21,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 230421,2023-06-12,,0.5,1.0,EMO BON EMT21 So 230421  macro 500um (1),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_30,2023-06-12,,2023-04-21,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,N,2,Van Veen Grab sampler 0.056m2,2023-04-21,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 230421,2023-06-12,,0.5,1.0,EMO BON EMT21 So 230421  macro 500um (2),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_31,,,2023-04-21,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,Y,3,Van Veen Grab sampler 0.056m2,2023-04-21,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 230421,,,0.5,1.0,EMO BON EMT21 So 230421  macro 500um (3),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_32,,,2023-04-21,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,Y,4,Van Veen Grab sampler 0.056m2,2023-04-21,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 230421,,,0.5,1.0,EMO BON EMT21 So 230421 macro 500um (4),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_33,,,2023-10-27,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,1,Van Veen Grab sampler 0.056m2,2023-10-27,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 231027,,,1.0,,EMO BON EMT21 So 231027 macro 1mm (1),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_34,,,2023-10-27,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,2,Van Veen Grab sampler 0.056m2,2023-10-27,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 231027,,,1.0,,EMO BON EMT21 So 231027 macro 1mm (2),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_35,,,2023-10-27,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,3,Van Veen Grab sampler 0.056m2,2023-10-27,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 231027,,,1.0,,EMO BON EMT21 So 231027  macro 1mm (3),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_36,,,2023-10-27,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,4,Van Veen Grab sampler 0.056m2,2023-10-27,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 231027,,,1.0,,EMO BON EMT21 So 231027 macro 1mm (4),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_37,,,2023-10-27,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,1,Van Veen Grab sampler 0.056m2,2023-10-27,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 231027,,,0.5,1.0,EMO BON EMT21 So 231027  macro 500um (1),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_38,,,2023-10-27,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,2,Van Veen Grab sampler 0.056m2,2023-10-27,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 231027,,,0.5,1.0,EMO BON EMT21 So 231027  macro 500um (2),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_39,,,2023-10-27,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,3,Van Veen Grab sampler 0.056m2,2023-10-27,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 231027,,,0.5,1.0,EMO BON EMT21 So 231027  macro 500um (3),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_40,,,2023-10-27,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,4,Van Veen Grab sampler 0.056m2,2023-10-27,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 231027,,,0.5,1.0,EMO BON EMT21 So 231027 macro 500um (4),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_41,,,2024-04-24,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,1,Van Veen Grab sampler 0.056m2,2024-04-24,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 240424,,,1.0,,EMO BON EMT21 So 240424 macro 1mm (1),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,flood_tide
EMOBON_EMT21_So_42,,,2024-04-24,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,2,Van Veen Grab sampler 0.056m2,2024-04-24,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 240424,,,1.0,,EMO BON EMT21 So 240424 macro 1mm (2),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,flood_tide
EMOBON_EMT21_So_43,,,2024-04-24,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,3,Van Veen Grab sampler 0.056m2,2024-04-24,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 240424,,,1.0,,EMO BON EMT21 So 240424  macro 1mm (3),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,flood_tide
EMOBON_EMT21_So_44,,,2024-04-24,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,4,Van Veen Grab sampler 0.056m2,2024-04-24,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 240424,,,1.0,,EMO BON EMT21 So 240424 macro 1mm (4),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,flood_tide
EMOBON_EMT21_So_45,,,2024-04-24,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,1,Van Veen Grab sampler 0.056m2,2024-04-24,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 240424,,,0.5,1.0,EMO BON EMT21 So 240424  macro 500um (1),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,flood_tide
EMOBON_EMT21_So_46,,,2024-04-24,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,2,Van Veen Grab sampler 0.056m2,2024-04-24,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 240424,,,0.5,1.0,EMO BON EMT21 So 240424  macro 500um (2),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,flood_tide
EMOBON_EMT21_So_47,,,2024-04-24,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,3,Van Veen Grab sampler 0.056m2,2024-04-24,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 240424,,,0.5,1.0,EMO BON EMT21 So 240424  macro 500um (3),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,flood_tide
EMOBON_EMT21_So_48,,,2024-04-24,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,,4,Van Veen Grab sampler 0.056m2,2024-04-24,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21 _So_ 240424,,,0.5,1.0,EMO BON EMT21 So 240424 macro 500um (4),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,flood_tide
