source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_RFormosa_Wa_31,2022-10-26,2023-06-01,2022-02-24,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,N,Y,1,bucket,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,2022-10-17,2023-06-01,3-200,3.0,200.0,EMO BON RFormosa Wa 220224 3um_1,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_32,2022-10-26,2023-06-01,2022-02-24,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,N,Y,2,bucket,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,2022-10-17,2023-06-01,3-200,3.0,200.0,EMO BON RFormosa Wa 220224 3um_2,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_33,,,2022-02-24,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,bucket,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,,,3-200,3.0,200.0,EMO BON RFormosa Wa 220224 3um_3,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_34,,,2022-02-24,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,bucket,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,,,3-200,3.0,200.0,EMO BON RFormosa Wa 220224 3um_4,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_35,2022-10-26,2023-06-01,2022-02-24,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,N,Y,1,bucket,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,2022-10-17,2023-06-01,0.2-3,0.2,3.0,EMO BON RFormosa Wa 220224 0.22um_1,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_36,2022-10-26,2023-06-01,2022-02-24,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,N,Y,2,bucket,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,2022-10-17,2023-06-01,0.2-3,0.2,3.0,EMO BON RFormosa Wa 220224 0.22um_2,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_37,,,2022-02-24,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,bucket,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,,,0.2-3,0.2,3.0,EMO BON RFormosa Wa 220224 0.22um_3,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_38,,,2022-02-24,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,bucket,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,,,0.2-3,0.2,3.0,EMO BON RFormosa Wa 220224 0.22um_4,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_39,,,2022-02-24,,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,,,3-200,3.0,200.0,EMO BON RFormosa Wa 220224 3um_Blank,Bruno Louro,,256318.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_40,,,2022-02-24,,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_220224,,,0.2-3,0.2,3.0,EMO BON RFormosa Wa 220224 0.22um_Blank,Bruno Louro,,256318.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
