source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_HCMR-1_Wa_31,,,2021-10-26,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,3,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-10-26 size fraction 0.2-3um,WaSOP 1,,30,2021-10-26,"Basement, New chest freezer -80C, Left side, Carton box",-80,Vaso Terzoglou,HCMR-1_Wa_211026,,,0.2-3,0.2,3,EMO BON HCMR-1 Wa 211026 0.22um_3,Melanthia Stavroulaki,,1874687,2.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_32,,,2021-10-26,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,4,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-10-26 size fraction 0.2-3um,WaSOP 1,,30,2021-10-26,"Basement, New chest freezer -80C, Left side, Carton box",-80,Vaso Terzoglou,HCMR-1_Wa_211026,,,0.2-3,0.2,3,EMO BON HCMR-1 Wa 211026 0.22um_4,Melanthia Stavroulaki,,1874687,2.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_33,,,2021-10-26,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,N,blank_1,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-10-26 size fraction 3-200um,WaSOP 1,,30,2021-10-26,"Basement, New chest freezer -80C, Left side, Carton box",-80,Vaso Terzoglou,HCMR-1_Wa_211026,,,3-200,3.0,200,EMO BON HCMR-1 Wa 211026 3um_Blank,Melanthia Stavroulaki,,256318,3.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_34,,,2021-10-26,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,N,blank_2,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-10-26 size fraction 3-200um,WaSOP 1,,30,2021-10-26,"Basement, New chest freezer -80C, Left side, Carton box",-80,Vaso Terzoglou,HCMR-1_Wa_211026,,,3-200,3.0,200,EMO BON HCMR-1 Wa 211026 3um_Blank,Melanthia Stavroulaki,,256318,3.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_35,,,2021-10-26,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,N,blank_1,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-10-26 size fraction 0.2-3um,WaSOP 1,,30,2021-10-26,"Basement, New chest freezer -80C, Left side, Carton box",-80,Vaso Terzoglou,HCMR-1_Wa_211026,,,0.2-3,0.2,3,EMO BON HCMR-1 Wa 211026 0.22um_Blank,Melanthia Stavroulaki,,256318,3.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_36,,,2021-10-26,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,N,blank_2,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-10-26 size fraction 0.2-3um,WaSOP 1,,30,2021-10-26,"Basement, New chest freezer -80C, Left side, Carton box",-80,Vaso Terzoglou,HCMR-1_Wa_211026,,,0.2-3,0.2,3,EMO BON HCMR-1 Wa 211026 0.22um_Blank,Melanthia Stavroulaki,,256318,3.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_37,,,2022-03-04,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,1,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2022-03-04 size fraction 3-200um,WaSOP 1,,30,2022-03-04,"Basement, New chest freezer -80C, Left side, Carton box",-80,Apostolos Kristallas,HCMR-1_Wa_220304,,,3-200,3.0,200,EMO BON HCMR-1 Wa 220304 3um_1,Melanthia Stavroulaki,,1874687,1.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_38,,,2022-03-04,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,2,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2022-03-04 size fraction 3-200um,WaSOP 1,,30,2022-03-04,"Basement, New chest freezer -80C, Left side, Carton box",-80,Apostolos Kristallas,HCMR-1_Wa_220304,,,3-200,3.0,200,EMO BON HCMR-1 Wa 220304 3um_2,Melanthia Stavroulaki,,1874687,1.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_39,2022-12-12,2023-06-01,2022-03-04,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,N,Y,3,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2022-03-04 size fraction 0.2-3um,WaSOP 1,,30,2022-03-04,"Basement, New chest freezer -80C, Left side, Carton box",-80,Apostolos Kristallas,HCMR-1_Wa_220304,2022-12-01,2023-06-01,0.2-3,3.0,200,EMO BON HCMR-1 Wa 220304 3um_3,Melanthia Stavroulaki,-70.0,1874687,2.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_40,2022-12-12,2023-06-01,2022-03-04,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,N,Y,4,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2022-03-04 size fraction 0.2-3um,WaSOP 1,,30,2022-03-04,"Basement, New chest freezer -80C, Left side, Carton box",-80,Apostolos Kristallas,HCMR-1_Wa_220304,2022-12-01,2023-06-01,0.2-3,3.0,200,EMO BON HCMR-1 Wa 220304 3um_4,Melanthia Stavroulaki,-70.0,1874687,2.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_41,2022-12-12,2023-06-01,2022-03-04,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,N,Y,1,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2022-03-04 size fraction 3-200um,WaSOP 1,,30,2022-03-04,"Basement, New chest freezer -80C, Left side, Carton box",-80,Apostolos Kristallas,HCMR-1_Wa_220304,2022-12-01,2023-06-01,3-200,0.2,3,EMO BON HCMR-1 Wa 220304 0.22um_1,Melanthia Stavroulaki,-70.0,1874687,1.5,,,,,0000-0003-4392-7159,no_tide
