source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_OSD74_Wa_22,2022-02-03,2022-02-23,2021-12-18,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,2022-01-31,2022-02-22,0.2-3,0.2,3,EMOBON_OSD74_Wa_181221_0.2µm_(1),Catarina Magalhães,-70.0,1874687,0.78,,,,0000-0001-9576-2398,0000-0001-9576-2398,low_tide
EMOBON_OSD74_Wa_23,2022-02-03,2022-02-23,2021-12-18,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,2022-01-31,2022-02-22,3-200,3.0,200,EMOBON_OSD74_Wa_181221_3µm_(2),Catarina Magalhães,-70.0,1874687,0.78,,,,0000-0001-9576-2398,0000-0001-9576-2398,low_tide
EMOBON_OSD74_Wa_24,2022-02-03,2022-02-23,2021-12-18,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,2022-01-31,2022-02-22,0.2-3,0.2,3,EMOBON_OSD74_Wa_181221_0.2µm_(2),Catarina Magalhães,-70.0,1874687,0.78,,,,0000-0001-9576-2398,0000-0001-9576-2398,low_tide
EMOBON_OSD74_Wa_25,,,2021-12-18,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,,,3-200,3.0,200,EMOBON_OSD74_Wa_181221_3µm_(3),Catarina Magalhães,,1874687,0.78,,,,0000-0001-9576-2398,0000-0001-9576-2398,low_tide
EMOBON_OSD74_Wa_26,,,2021-12-18,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,,,0.2-3,0.2,3,EMOBON_OSD74_Wa_181221_0.2µm_(3),Catarina Magalhães,,1874687,0.78,,,,0000-0001-9576-2398,0000-0001-9576-2398,low_tide
EMOBON_OSD74_Wa_27,,,2021-12-18,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,,,3-200,3.0,200,EMOBON_OSD74_Wa_181221_3µm_(4),Catarina Magalhães,,1874687,0.78,,,,0000-0001-9576-2398,0000-0001-9576-2398,low_tide
EMOBON_OSD74_Wa_28,,,2021-12-18,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,,,0.2-3,0.2,3,EMOBON_OSD74_Wa_181221_0.2µm_(4),Catarina Magalhães,,1874687,0.78,,,,0000-0001-9576-2398,0000-0001-9576-2398,low_tide
EMOBON_OSD74_Wa_29,2022-02-03,2022-02-23,2021-12-18,,MilliQ water [ENVO:00003065],Τ,blank; non-quantifiable DNA after extraction,metagenome,N,N,blank_1,,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,2022-01-31,2022-02-22,3-200,3.0,200,EMOBON_OSD74_Wa_181221_3µm_(Blank),Catarina Magalhães,-70.0,256318,0.6,,,,0000-0001-9576-2398,0000-0001-9576-2398,no_tide
EMOBON_OSD74_Wa_30,2022-02-03,2022-02-23,2021-12-18,,MilliQ water [ENVO:00003065],Τ,blank; non-quantifiable DNA after extraction,metagenome,N,N,blank_1,,EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um,WaSOP1,We used a peristaltic pump for filtration,5.4,2021-12-18,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_211218,2022-01-31,2022-02-22,0.2-3,0.2,3,EMOBON_OSD74_Wa_181221_0.2µm_(Blank),Catarina Magalhães,-70.0,256318,0.6,,,,0000-0001-9576-2398,0000-0001-9576-2398,no_tide
EMOBON_OSD74_Wa_31,2022-02-11,2023-06-01,2022-02-25,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2022-02-25 size fraction 3um,WaSOP1,We used a peristaltic pump for filtration,5.4,2022-02-25,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Eva Lopes; Alice Candeias,OSD74_Wa_220225,2022-10-31,2023-06-01,3-200,3.0,200,EMOBON_OSD74_Wa_250222_3µm_(1),Catarina Magalhães,-70.0,1874687,0.77,,,,0000-0001-9576-2398,0000-0001-9576-2398,low_tide
