source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_IUIEilat_Wa_25,2022-01-28,2022-02-23,2021-12-19,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-12-19 size fraction 3-200um,WaSOP 1,,10,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_211219,2022-01-24,2022-02-22,3-200,3.0,200,EMO BON IUI EILAT WA 211219 3.0um 1,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_26,2022-01-28,2022-02-23,2021-12-19,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-12-19 size fraction 3-200um,WaSOP 1,,10,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_211219,2022-01-24,2022-02-22,3-200,3.0,200,EMO BON IUI EILAT WA 211219 3.0um 2,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_27,,,2021-12-19,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-12-19 size fraction 3-200um,WaSOP 1,,10,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_211219,,,3-200,3.0,200,EMO BON IUI EILAT WA 211219 3.0um 3,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_28,,,2021-12-19,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-12-19 size fraction 3-200um,WaSOP 1,,10,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_211219,,,3-200,3.0,200,EMO BON IUI EILAT WA 211219 3.0um 4,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_29,2022-01-28,2022-02-23,2021-12-19,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],T,blank; non-quantifiable DNA after extraction,metagenome,N,N,blank_1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-12-19 size fraction 0.2-3um,WaSOP 1,,10,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_211219,2022-01-24,2022-02-22,0.2-3,0.2,3,EMO BON IUI EILAT WA 211219 0.2um blank,Gil Koplovitz,-70.0,256318,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_30,2022-01-28,2022-02-23,2021-12-19,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],T,blank; non-quantifiable DNA after extraction,metagenome,N,N,blank_1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-12-19 size fraction 3-200um,WaSOP 1,,10,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_211219,2022-01-24,2022-02-22,3-200,3.0,200,EMO BON IUI EILAT WA 211219 3.0um blank,Gil Koplovitz,-70.0,256318,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_31,2022-12-23,2023-06-01,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 0.2-3um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,2022-10-26,2023-06-01,0.2-3,0.2,3,EMO BON IUI EILAT WA 220223 0.2um 1,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_32,2022-12-23,2023-06-01,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 0.2-3um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,2022-10-26,2023-06-01,0.2-3,0.2,3,EMO BON IUI EILAT WA 220223 0.2um 2,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_33,,,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 0.2-3um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,,,0.2-3,0.2,3,EMO BON IUI EILAT WA 220223 0.2um 3,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_34,,,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 0.2-3um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,,,0.2-3,0.2,3,EMO BON IUI EILAT WA 220223 0.2um 4,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_35,2022-12-23,2023-06-01,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 3-200um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,2022-10-26,2023-06-01,3-200,3.0,200,EMO BON IUI EILAT WA 220223 3.0um 1,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_36,2022-12-23,2023-06-01,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 3-200um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,2022-10-26,2023-06-01,3-200,3.0,200,EMO BON IUI EILAT WA 220223 3.0um 2,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_37,,,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 3-200um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,,,3-200,3.0,200,EMO BON IUI EILAT WA 220223 3.0um 3,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_38,,,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 3-200um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,,,3-200,3.0,200,EMO BON IUI EILAT WA 220223 3.0um 4,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_39,,,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 0.2-3um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,,,0.2-3,0.2,3,EMO BON IUI EILAT WA 220223 0.2um blank,Gil Koplovitz,,256318,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_40,,,2022-02-23,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-02-23 size fraction 3-200um,WaSOP 1,,10,2022-02-23,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220223,,,3-200,3.0,200,EMO BON IUI EILAT WA 220223 3.0um blank,Gil Koplovitz,,256318,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_41,2022-12-23,2023-06-01,2022-05-08,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-05-08 size fraction 0.2-3um,WaSOP 1,,10,2022-05-08,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220508,2022-10-26,2023-06-01,0.2-3,0.2,3,EMO BON IUI EILAT WA 220508 0.2um 1,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_42,2022-12-23,2023-06-01,2022-05-08,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-05-08 size fraction 0.2-3um,WaSOP 1,,10,2022-05-08,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220508,2022-10-26,2023-06-01,0.2-3,0.2,3,EMO BON IUI EILAT WA 220508 0.2um 2,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_43,,,2022-05-08,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-05-08 size fraction 0.2-3um,WaSOP 1,,10,2022-05-08,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220508,,,0.2-3,0.2,3,EMO BON IUI EILAT WA 220508 0.2um 3,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_44,,,2022-05-08,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2022-05-08 size fraction 0.2-3um,WaSOP 1,,10,2022-05-08,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_220508,,,0.2-3,0.2,3,EMO BON IUI EILAT WA 220508 0.2um 4,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
