,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
0,EMO BON HCMR-1 Wa 231020 0.22um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2023-10-20 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2023-10-20,HCMR-1_Wa_230906,Vaso Terzoglou,,no_tide,,1.0,1,30,1.5,0.2-3,0.2,3,Y,Jerrycan,WaSOP 1,,2023-10-20,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_145
1,EMO BON HCMR-1 Wa 231020 0.22um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2023-10-20 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2023-10-20,HCMR-1_Wa_231020,Vaso Terzoglou,,no_tide,,1.0,2,30,1.5,0.2-3,0.2,3,Y,Jerrycan,WaSOP 1,,2023-10-20,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_146
2,EMO BON HCMR-1 Wa 231020 3um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2023-10-20 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2023-10-20,HCMR-1_Wa_231020,Vaso Terzoglou,,no_tide,,1.0,1,30,1.5,3-200,3.0,200,Y,Jerrycan,WaSOP 1,,2023-10-20,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_149
3,EMO BON HCMR-1 Wa 2310203um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2023-10-20 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2023-10-20,HCMR-1_Wa_231020,Vaso Terzoglou,,no_tide,,1.0,2,30,1.5,3-200,3.0,200,Y,Jerrycan,WaSOP 1,,2023-10-20,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_150
4,EMO BON HCMR-1 Wa 231221 0.22um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2023-12-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2023-12-21,HCMR-1_Wa_231221,Apostolos Kristallas,,no_tide,,1.0,1,30,1.5,0.2-3,0.2,3,Y,Jerrycan,WaSOP 1,,2023-12-21,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_157
5,EMO BON HCMR-1 Wa 231221 0.22um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2023-12-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2023-12-21,HCMR-1_Wa_231221,Apostolos Kristallas,,no_tide,,1.0,2,30,1.5,0.2-3,0.2,3,Y,Jerrycan,WaSOP 1,,2023-12-21,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_158
6,EMO BON HCMR-1 Wa 231221 3um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2023-12-21 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2023-12-21,HCMR-1_Wa_231221,Apostolos Kristallas,,no_tide,,1.0,1,30,1.5,3-200,3.0,200,Y,Jerrycan,WaSOP 1,,2023-12-21,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_161
7,EMO BON HCMR-1 Wa 2312213um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2023-12-21 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2023-12-21,HCMR-1_Wa_231221,Apostolos Kristallas,,no_tide,,1.0,2,30,1.5,3-200,3.0,200,Y,Jerrycan,WaSOP 1,,2023-12-21,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_162
8,EMO BON HCMR-1 Wa 240221 0.22um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2024-12-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2024-12-21,HCMR-1_Wa_240221,Vaso Terzoglou,,no_tide,,1.0,1,30,1.5,0.2-3,0.2,3,Y,Jerrycan,WaSOP 1,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_169
9,EMO BON HCMR-1 Wa 240221 0.22um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2024-12-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2024-12-21,HCMR-1_Wa_240221,Vaso Terzoglou,,no_tide,,1.0,2,30,1.5,0.2-3,0.2,3,Y,Jerrycan,WaSOP 1,,,"Basement, New chest freezer -80C, Left side, Carton box",-80,Melanthia Stavroulaki,0000-0003-4392-7159,,,Y,to ship,,,,,,,,,EMOBON_HCMR-1_Wa_170
