source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample
EMOBON_EMT21 _So_ 230421_macro_1mm_3,EMO BON EMT21 So 230421  macro 500um (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-04-21 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-04-21,EMT21 _So_ 230421,Jose González,0000-0003-1576-9819,ebb_tide,3.0,3,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-04-21,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_1mm_4,EMO BON EMT21 So 230421 macro 500um (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-04-21 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-04-21,EMT21 _So_ 230421,Jose González,0000-0003-1576-9819,ebb_tide,3.0,4,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-04-21,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_NAmm_1,EMO BON EMT21 So 231027 macro 1mm (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-10-27 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-10-27,EMT21 _So_ 231027,Jose González,0000-0003-1576-9819,low_tide,2.0,1,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-10-27,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_NAmm_2,EMO BON EMT21 So 231027 macro 1mm (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-10-27 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-10-27,EMT21 _So_ 231027,Jose González,0000-0003-1576-9819,low_tide,2.0,2,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-10-27,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_NAmm_3,EMO BON EMT21 So 231027  macro 1mm (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-10-27 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-10-27,EMT21 _So_ 231027,Jose González,0000-0003-1576-9819,low_tide,2.0,3,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-10-27,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_NAmm_4,EMO BON EMT21 So 231027 macro 1mm (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-10-27 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-10-27,EMT21 _So_ 231027,Jose González,0000-0003-1576-9819,low_tide,2.0,4,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-10-27,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_1mm_1,EMO BON EMT21 So 231027  macro 500um (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-10-27 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-10-27,EMT21 _So_ 231027,Jose González,0000-0003-1576-9819,low_tide,2.0,1,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-10-27,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_1mm_2,EMO BON EMT21 So 231027  macro 500um (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-10-27 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-10-27,EMT21 _So_ 231027,Jose González,0000-0003-1576-9819,low_tide,2.0,2,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-10-27,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_1mm_3,EMO BON EMT21 So 231027  macro 500um (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-10-27 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-10-27,EMT21 _So_ 231027,Jose González,0000-0003-1576-9819,low_tide,2.0,3,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-10-27,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_1mm_4,EMO BON EMT21 So 231027 macro 500um (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-10-27 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-10-27,EMT21 _So_ 231027,Jose González,0000-0003-1576-9819,low_tide,2.0,4,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-10-27,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_NAmm_1,EMO BON EMT21 So 240424 macro 1mm (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2024-04-24 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2024-04-24,EMT21 _So_ 240424,Jose González,0000-0003-1576-9819,flood_tide,2.0,1,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2024-04-24,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_NAmm_2,EMO BON EMT21 So 240424 macro 1mm (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2024-04-24 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2024-04-24,EMT21 _So_ 240424,Jose González,0000-0003-1576-9819,flood_tide,2.0,2,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2024-04-24,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_NAmm_3,EMO BON EMT21 So 240424  macro 1mm (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2024-04-24 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2024-04-24,EMT21 _So_ 240424,Jose González,0000-0003-1576-9819,flood_tide,2.0,3,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2024-04-24,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,,,,,,,,,
