,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,comm_samp,noteworthy_env_cond,replicate,size_frac_low,size_frac_up,depth,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,samp_size_mass,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
0,EMOBON 240614 BPNS So3 Meio R1,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2024-06-01 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2024-06-01,BPNS_So_240614,Carlota Fernandez Muñiz,0000-0001-9584-3833,ebb_tide,meio,,1,32.0,,23.96,Van Veen Grab,SoSOP3,,2024-06-14,General storage OIS,-20.0,Rune Lagaisse,0000-0001-9191-9140,,,N,,next_batch,,,,,,,,,EMOBON_BPNS_So_167
1,EMOBON 240614 BPNS So3 Meio R2,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2024-06-01 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2024-06-01,BPNS_So_240614,Carlota Fernandez Muñiz,0000-0001-9584-3833,ebb_tide,meio,,2,32.0,,23.96,Van Veen Grab,SoSOP3,,2024-06-14,General storage OIS,-20.0,Rune Lagaisse,0000-0001-9191-9140,,,N,,next_batch,,,,,,,,,EMOBON_BPNS_So_168
2,EMOBON 240614 BPNS So3 Meio B,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2024-06-14 community collected meio,256318,metagenome,mimarks-specimen,sediment [ENVO:00002007],2024-06-14,BPNS_So_240614,Carlota Fernandez Muñiz,0000-0001-9584-3833,,meio,,blank_1,,,,,SoSOP3,,2024-06-14,General storage OIS,-20.0,Rune Lagaisse,0000-0001-9191-9140,,,N,,next_batch,,,,,,,,,EMOBON_BPNS_So_171
