,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
0,EMO BON ESC68N Wa 250217 3um 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EMO BON ESC68N Wa 250217  3um 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EMO BON ESC68N Wa 250217  0.2um 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EMO BON ESC68N Wa 250217  0.2um 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EMO BON ESC68N Wa 250217  3um 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EMO BON ESC68N Wa 250217  3um 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EMO BON ESC68N Wa 250217  0.2um 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EMO BON ESC68N Wa 250217  0.2um 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EMO BON ESC68N Wa 250217  3um blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EMO BON ESC68N Wa 250217 0.2um blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
